video_id,title,published_at,view_count,like_count,comment_count
mxqVWLBiV3k,【共依存】人間関係のストレスや問題の背景。自分の価値を感じられなければ心が保てない。自己犠牲して周りを優先、人をコントロールしたり人を依存させる。,2024-02-28T09:30:13Z,132084,3576,102
AxlcavvWwYk,【認知の歪み】超身近な苦しくなる思考の癖。認知の歪みとは？10種類の例と改善に向けた対応,2023-11-22T10:07:19Z,130279,4572,100
4StA-DDlEfk,【投影】他人(外側)に自分の感情・欲求や過去を映し出す。＝自分流に解釈している。人間関係や自己理解のために「投影」をチェックしてみましょう,2024-06-19T10:18:53Z,121833,3324,77
_uTgEER207c,【敵意帰属バイアス】自分を嫌っているんだと誤解・攻撃されたと誤解をしやすい。自己成長や対人関係の弊害。不信感。まずは傾向に気づくこと。,2024-04-10T10:04:13Z,107541,4261,216
wsR2RjpGWDg,すぐ臨戦体制になり食ってかかりやすい心の癖。人を敵に思いやすい「敵意帰属バイアス」② #心理学 #人間関係 #ストレス #教養,2024-04-27T13:05:25Z,105721,2177,82
khgpg2jcUCE,【回避傾向】自分を生きることから逃げる。失敗、責任、批判、恥、人を傷つける恐れなどを最優先にして人生が停滞する,2025-02-05T10:25:28Z,103401,4333,161
27c9_QRTctI,【人に依存しすぎている人】自分に主導権がなくなっている・人に何かしてもらうことを求めすぎる人（自立しなさすぎている状態）,2023-10-25T09:55:09Z,91609,2734,78
3BV7aU3Dl8w,【強い劣等感】落ち込みが止まらない、すぐ人と比較、頑張りすぎてしまう、自分を守るために攻撃・敏感になりやすい、理想やプライドが高くなる。,2024-03-20T10:03:01Z,84076,2762,91
cNzvBWkhm3Y,【日常に残る心の影響】知らないで自分を否定したり、現実とのギャップを起こし続けていませんか？大事な自分を理解・受容・幸せへ。,2025-08-21T10:08:35Z,83800,3613,158
PCQK3CWmmJg,【承認欲求が強い人】「認められたい」という病。あなたや周りはどう？／すごいね特別だねと思われたい（賞賛獲得型）・孤立したくない取り残されたくない（拒否回避型）,2023-10-11T10:07:54Z,64075,1525,50
KsoDgRfTUqo,認知の歪みの克服→察する・察しろをやめる。#心理学 #人間関係 #ストレス #教養,2024-05-06T09:45:20Z,60857,2472,19
lWwpYFeEt_Y,【白黒二択じゃない現実】自分の都合に合わない事実を受け入れる力。そして感情を大切にしながら、人生を進める。他者に認められることが正解とは限らない,2025-02-12T10:17:54Z,51468,1763,40
5XiWM2K4u_0,【見下され不安】「バカにされたくない、舐めんなよ」。下位への屈辱感と不安。反対に人への見下し【頻度や強さを見てね】,2023-12-06T09:43:06Z,51293,2207,78
ZTnUrBU2_5k,【自分軸と他人軸の違い】人に左右される、優先順位がつけられない。特徴と自分軸の練習,2023-09-13T09:35:37Z,50919,1683,40
3y8WjmWkWHU,【回避型/回避依存】親密さを避けて距離を取ってしまう。できるところから俯瞰して、恐れの正体と本音に触れていく。,2025-05-17T07:20:11Z,50505,1765,65
aGExb9HOguU,【ストレスに弱い人の傾向】人格や存在への自己批判がネガティブな連鎖反応を引き起こします。「自分という“人間”がよくない」と思考していませんか？,2024-10-09T10:35:45Z,50374,1888,50
9unZX41RXcw,【悲観思考に飲み込まれない】自分を嫌わなくていい。ただ幻に気づいて「怖いんだね」と付き合う。そして自分の選択をする。,2024-05-15T12:00:29Z,49199,1969,61
QFdncJqr_Zs,【芯のある人とただ自己中な人】自分の考えや感覚しか認めようとしない。ただ自己中な人の話は鵜呑みにしないこと,2023-09-20T11:08:35Z,46594,1335,43
AeUYnY8baUU,【アダルトチルドレンと親】幼少期の体験と人間関係の悩みは繋がっている。親の関わり方が残す課題とその抜け出し方,2024-11-27T10:11:39Z,45139,1549,84
j2JSTVFlWvw,【依存が強い人ほど陥る考え方の癖】自己価値を結びつけすぎ、いい状態じゃないと不安。依存の理解と「対話・折り合う」,2025-02-27T09:34:25Z,44524,1379,33
rVBOnuxC-sw,【アダルトチルドレン6タイプ】自分や家族を守るため身につけた6つの習慣。生きづらさの正体を理解して自分を労い、一歩を踏み出そう,2024-11-13T09:53:33Z,43832,1646,64
wXmyqbdm-Xw,【自己肯定感が安定する人のタイプ】自分に合う回復や安定。人間のこと・自分の心のことを知って生きやすくなる。,2024-05-12T10:43:05Z,42714,1379,36
HJXD3nTQDA0,見捨てられ不安の特徴と理由。どうすればいいの？,2023-05-31T10:30:08Z,38949,1611,42
HspUwB0WwwI,【テイカー・マッチャー・ギバー】期待と搾取のループから抜け出し、健やかな関係と幸せを築く。,2025-07-03T10:32:14Z,37927,1166,38
0Ph9US_a43U,【認知の歪み】あなたの感情は解釈で決められる。単純化＆自動化している思考を見直して自分を救おう,2023-11-23T10:36:10Z,37911,1405,45
03oCR1M6aV0,【白黒思考】両極端で間がない・曖昧さへの低耐性・自分や他者への行きすぎた要求。ストレスフルに陥りやすい考え方の一つ。【頻度や強さを見てね】,2023-12-20T10:51:52Z,37815,1371,49
Syn4e5vUnzY,【心のシャッター開きすぎの人・閉じすぎの人】どちらも他人軸で根本的に寂しい。孤独感/劣等感/不安が引き起こすコミュニケーションの困難。,2024-04-17T09:52:46Z,37487,1304,48
M45LipJPLCM,【力を奪われた経験 辛かったよね】自分が一番の身内。嬉しいことは手放しで喜んでいい。,2024-02-23T10:37:33Z,37371,1004,48
cXvo-XKOrHw,【見捨てられ不安】連絡がないと不安、嫌われる想像ばかりする、疑う・合わせる・束縛的になる。特徴と理由→改善,2024-06-26T08:59:13Z,34752,1361,49
I-czc8arAvA,【充分に子どもでいられなかった】環境からの影響と自分を理解して過去に寄り添う・気持ちに寄り添う,2023-11-08T09:40:00Z,34438,1594,95
o00AfeIcMuA,不安になるかもしれませんが完全じゃなくて大丈夫。#心理学 #精神 #白黒思考 #認知の歪み,2023-12-03T12:03:47Z,33752,923,7
GXj8zEiyW8c,【認知の癖】共感あるある／歪んだのは「自分を傷つきから守り生き抜くため・集団の中でうまくやっていくため」／思考癖が強い相手の場合,2023-11-25T11:22:27Z,32370,983,26
9TQtb_gl-ZY,【プライドが高い人】自己価値が保たれないことへの怖れ、比較・競争への執着。高いプライドはどんどん生きにくい方向へ人生を捻じ曲げます。,2024-07-24T09:45:00Z,32294,1100,51
8w-isIEfZrU,【4つの好転サイン】うまくいき始めた人に現れるサイン。自己肯定感が回復する時、実はこんな変化が出てきます。,2025-07-13T07:57:41Z,31522,1371,44
GoC9sqOQTiQ,【親密が怖い理由／回避型愛着】素を出して共感し合う関係が作れない、人を信じられない。人を遠くに置いてしまうその心理背景とは？,2025-05-21T10:40:28Z,30127,929,28
dg3PHN20j1c,【自立しすぎている人】プラスアルファ特徴や心理を解説。自分や身近な人の取説にお役立てください,2023-10-19T09:48:52Z,28655,830,58
V5_zWt-CDSA,【抱え込み自爆】「やらなきゃ・できなきゃ」と積み過ぎて疲れる人。心がぱんぱんになる前に。,2026-02-25T13:12:31Z,27760,1273,41
Iz2TZ91qd4A,【怒りの感情への対応】感情を抑え続けてはいけない。“怒れない人”・“逆らってはいけない”と頑張ってきた人,2023-07-12T11:03:06Z,27415,1115,23
VN2GQlRvbPk,【完璧主義の先延ばし】「ちゃんとやらなきゃ」で止まる心。迷いながらでOK、止まっててもOK！そして自分を責めずに動き出すには？,2025-04-23T09:49:54Z,26416,1535,64
